idx,Month,DayofMonth,DayOfWeek,UniqueCarrier,Origin,Dest,Distance,Hour,Minute,IsWeekend
0,8,21,7,AA,ATL,DFW,732.0,19,34,1
1,4,20,3,US,PIT,MCO,834.0,15,48,0
2,9,2,5,XE,RDU,CLE,416.0,14,22,0
3,11,25,6,OO,DEN,MEM,872.0,10,15,1
4,10,7,6,WN,MDW,OMA,423.0,18,28,1
5,8,3,4,NW,MEM,MCO,683.0,19,18,0
6,1,27,4,DL,PBI,LGA,1035.0,7,54,0
7,4,29,6,OH,MSP,CVG,596.0,6,35,1
8,7,28,5,AA,ONT,DFW,1189.0,7,35,0
9,6,20,2,OO,DEN,PSC,853.0,20,29,0
10,5,21,6,DL,BDL,CVG,661.0,17,36,1
11,3,5,7,WN,PHX,STL,1262.0,12,5,1
12,10,6,4,AS,LAS,SEA,866.0,21,24,0
13,8,20,6,AA,DFW,SJC,1438.0,7,37,1
14,11,10,4,UA,DEN,SJC,948.0,14,47,0
15,9,20,2,MQ,DSM,ORD,299.0,16,42,0
16,9,19,2,CO,CMH,IAH,986.0,18,1,0
17,7,26,2,DL,ORF,ATL,516.0,6,20,0
18,10,14,5,OO,SLC,SEA,689.0,17,4,0
19,10,5,4,US,PHX,CMH,1671.0,12,5,0
20,8,22,2,AA,CLT,DFW,936.0,15,21,0
21,6,21,3,EV,ATL,ILM,377.0,15,19,0
22,11,26,6,DL,GSO,ATL,306.0,14,17,1
23,11,9,3,DH,IAD,CMH,299.0,9,18,0
24,12,31,6,DL,ATL,MSP,906.0,18,37,1
25,4,4,1,WN,SMF,PHX,647.0,6,35,0
26,7,3,7,AA,FLL,LGA,1076.0,13,50,1
27,4,16,7,WN,DAL,AUS,189.0,12,35,1
28,5,31,3,MQ,ORD,SYR,607.0,15,13,0
29,4,18,1,AA,ORD,LAX,1745.0,6,19,0
30,8,30,3,YV,ITO,HNL,216.0,6,10,0
31,5,9,1,AA,DFW,ORF,1213.0,13,27,0
32,1,20,5,DL,ORD,CVG,264.0,11,30,0
33,12,3,7,EV,ATL,MYR,317.0,16,53,1
34,10,1,6,DL,SLC,PDX,630.0,14,54,1
35,3,24,4,US,CLT,CHS,168.0,23,3,0
36,5,6,5,WN,SAN,SMF,480.0,17,28,0
37,5,5,4,EV,ROA,ATL,357.0,6,50,0
38,1,28,5,MQ,LGA,DTW,501.0,20,46,0
39,7,9,6,MQ,ORD,MEM,491.0,7,47,1
40,9,20,2,MQ,SFO,SNA,372.0,7,7,0
41,7,15,5,F9,DEN,PHL,1557.0,11,44,0
42,3,17,4,DH,GSP,IAD,383.0,8,23,0
43,4,18,1,WN,SEA,PHX,1107.0,12,0,0
44,9,8,5,DL,DAB,ATL,366.0,8,9,0
45,11,10,4,WN,SJC,LAX,308.0,18,25,0
46,3,10,4,UA,DFW,ORD,802.0,7,42,0
47,4,12,2,MQ,LIT,DFW,304.0,19,13,0
48,10,3,2,UA,LAX,SEA,954.0,7,16,0
49,10,20,5,AQ,OAK,LAS,407.0,23,12,0
50,9,9,6,YV,SEA,PHX,1107.0,15,20,1
51,2,21,2,YV,COS,PHX,551.0,5,55,0
52,7,24,7,OH,OKC,CVG,756.0,10,50,1
53,8,14,1,TZ,PHX,OGG,2845.0,15,19,0
54,2,15,2,MQ,DFW,ABI,158.0,15,27,0
55,3,17,4,UA,GRR,ORD,137.0,5,51,0
56,7,21,4,HP,SJC,LAS,386.0,14,5,0
57,12,1,4,B6,JFK,PHX,2153.0,18,54,0
